"","born","Died","sex","age_at_debut","ad_cat","mamed","delta"
"69804","1902-12-15",1965,"Male",22,"ostatni","ne",1
"69805","1898-11-29",1953,"Male",22,"ostatni","ano",1
"69806","1972-02-15",NA,"Male",24,"ostatni","ne",0
"69807","1884-09-08",1951,"Male",20,"do_22","ne",1
"69808","1882-08-31",1965,"Male",26,"ostatni","ano",1
"69809","1959-05-31",2012,"Male",25,"ostatni","ne",1
"69810","1952-05-21",NA,"Male",24,"ostatni","ne",0
"69811","1926-03-24",2000,"Male",22,"ostatni","ano",1
"69812","1947-06-25",NA,"Male",25,"ostatni","ano",0
"69813","1963-11-10",NA,"Male",25,"ostatni","ano",0
"69814","1951-01-25",1975,"Male",21,"do_22","ne",1
"69815","1903-04-15",1988,"Male",21,"do_22","ne",1
"69816","1878-12-22",1925,"Male",22,"ostatni","ano",1
"69817","1889-05-17",1976,"Male",23,"ostatni","ne",1
"69818","1910-04-14",1982,"Male",22,"ostatni","ne",1
"69819","1886-02-24",1927,"Male",22,"ostatni","ne",1
"69820","1968-05-28",NA,"Male",24,"ostatni","ne",0
"69821","1890-05-07",1967,"Male",22,"ostatni","ne",1
"69822","1969-04-06",NA,"Male",27,"26+","ne",0
"69823","1943-07-10",NA,"Male",25,"ostatni","ne",0
"69824","1906-09-11",2004,"Male",22,"ostatni","ano",1
"69825","1943-08-09",NA,"Male",21,"do_22","ano",0
"69826","1885-02-12",1974,"Male",23,"ostatni","ne",1
"69827","1964-07-29",NA,"Male",28,"26+","ne",0
"69828","1886-04-07",1981,"Male",22,"ostatni","ne",1
"69829","1894-04-13",1978,"Male",26,"ostatni","ano",1
"69830","1936-10-10",NA,"Male",20,"do_22","ne",0
"69831","1884-06-22",1949,"Male",24,"ostatni","ano",1
"69832","1942-03-06",NA,"Male",22,"ostatni","ne",0
"69833","1908-02-18",1986,"Male",24,"ostatni","ano",1
"69834","1889-09-20",1975,"Male",23,"ostatni","ano",1
"69835","1943-02-28",NA,"Male",25,"ostatni","ne",0
"69836","1967-11-16",NA,"Male",25,"ostatni","ne",0
"69837","1908-11-22",1987,"Male",24,"ostatni","ne",1
"69838","1883-06-21",1973,"Male",37,"26+","ano",1
"69839","1931-06-03",NA,"Male",21,"do_22","ano",0
"69840","1879-03-13",1963,"Male",21,"do_22","ne",1
"69841","1891-10-14",1976,"Male",21,"do_22","ne",1
"69842","1964-06-08",NA,"Male",24,"ostatni","ano",0
"69843","1889-08-09",NA,"Male",23,"ostatni","ne",0
"69844","1890-02-20",1963,"Male",22,"ostatni","ano",1
"69845","1926-02-20",NA,"Male",22,"ostatni","ano",0
"69846","1903-12-25",1969,"Male",21,"do_22","ne",1
"69847","1901-01-31",1999,"Male",23,"ostatni","ne",1
"69848","1951-09-18",NA,"Male",25,"ostatni","ano",0
"69849","1970-10-24",NA,"Male",26,"ostatni","ne",0
"69850","1900-12-31",1943,"Male",24,"ostatni","ano",1
"69851","1902-05-17",1991,"Male",26,"ostatni","ne",1
"69852","1885-08-09",1963,"Male",23,"ostatni","ne",1
"69853","1935-07-23",2001,"Male",25,"ostatni","ano",1
"69854","1951-07-23",NA,"Male",25,"ostatni","ano",0
"69855","1892-10-07",1956,"Male",28,"26+","ne",1
"69856","1883-09-23",1951,"Male",21,"do_22","ano",1
"69857","1901-12-07",1937,"Male",23,"ostatni","ne",1
"69858","1964-11-28",NA,"Male",24,"ostatni","ne",0
"69859","1948-04-07",NA,"Male",24,"ostatni","ano",0
"69860","1923-06-18",2006,"Male",25,"ostatni","ne",1
"69861","1954-08-27",NA,"Male",22,"ostatni","ano",0
"69862","1914-07-18",2000,"Male",22,"ostatni","ano",1
"69863","1902-12-06",1982,"Male",26,"ostatni","ne",1
"69864","1952-04-01",NA,"Male",20,"do_22","ano",0
"69865","1966-04-12",NA,"Male",22,"ostatni","ano",0
"69866","1953-06-27",NA,"Male",23,"ostatni","ne",0
"69867","1972-07-08",NA,"Male",24,"ostatni","ne",0
"69868","1947-12-23",NA,"Male",29,"26+","ne",0
"69869","1892-03-14",1978,"Male",28,"26+","ne",1
"69870","1954-02-20",NA,"Male",30,"26+","ne",0
"69871","1938-04-08",NA,"Male",30,"26+","ne",0
"69872","1914-08-21",1975,"Male",18,"do_22","ne",1
"69873","1898-10-06",1984,"Male",26,"ostatni","ne",1
"69874","1901-11-10",1961,"Male",23,"ostatni","ne",1
"69875","1884-03-17",1913,"Male",20,"do_22","ano",1
"69876","1924-04-26",1998,"Male",24,"ostatni","ne",1
"69877","1891-12-04",NA,"Male",29,"26+","ne",0
"69878","1908-04-01",1997,"Male",20,"do_22","ano",1
